Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,1.0251E+13,1.05819E+13,1.09291E+13,1.14565E+13,1.22172E+13,1.30392E+13,1.38156E+13,1.44742E+13,1.47699E+13,1.44781E+13,1.5049E+13,1.55997E+13,1.6254E+13,1.68807E+13,1.76081E+13,1.8295E+13,1.88049E+13,1.96121E+13,2.06565E+13,2.154E+13,2.13541E+13,2.36812E+13,2.60069E+13,2.77207E+13
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,7.44773E+11,7.38982E+11,7.60649E+11,8.95541E+11,1.02669E+12,1.17311E+12,1.31926E+12,1.46882E+12,1.55299E+12,1.37463E+12,1.61734E+12,1.79333E+12,1.82837E+12,1.8466E+12,1.80575E+12,1.55651E+12,1.52799E+12,1.64927E+12,1.72533E+12,1.74373E+12,1.65568E+12,2.00747E+12,2.16148E+12,2.14247E+12
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,1.96698E+12,1.96638E+12,2.10235E+12,2.53472E+12,2.85232E+12,2.89339E+12,3.04631E+12,3.48406E+12,3.80879E+12,3.4798E+12,3.46815E+12,3.82483E+12,3.5979E+12,3.80809E+12,3.9658E+12,3.42357E+12,3.53778E+12,3.76309E+12,4.05201E+12,3.95721E+12,3.94014E+12,4.3483E+12,4.1636E+12,4.5257E+12
GDP (current US$),NY.GDP.MKTP.CD,United Kingdom,GBR,1.66553E+12,1.64983E+12,1.78573E+12,2.05442E+12,2.42153E+12,2.54318E+12,2.70844E+12,3.09051E+12,2.92941E+12,2.41284E+12,2.48548E+12,2.66381E+12,2.70709E+12,2.78485E+12,3.06471E+12,2.92791E+12,2.68911E+12,2.68015E+12,2.87134E+12,2.85141E+12,2.69678E+12,3.14332E+12,3.11404E+12,3.38085E+12
GDP (current US$),NY.GDP.MKTP.CD,France,FRA,1.36096E+12,1.37038E+12,1.49243E+12,1.8351E+12,2.10979E+12,2.19215E+12,2.31786E+12,2.65582E+12,2.9268E+12,2.70008E+12,2.64623E+12,2.87041E+12,2.68301E+12,2.81608E+12,2.86124E+12,2.44248E+12,2.47041E+12,2.58887E+12,2.78158E+12,2.72279E+12,2.64793E+12,2.96643E+12,2.7963E+12,3.05183E+12
GDP (current US$),NY.GDP.MKTP.CD,Japan,JPN,4.96836E+12,4.37471E+12,4.18285E+12,4.51956E+12,4.89312E+12,4.83147E+12,4.60166E+12,4.57975E+12,5.10668E+12,5.28949E+12,5.75907E+12,6.23315E+12,6.27236E+12,5.21233E+12,4.89699E+12,4.44493E+12,5.00368E+12,4.93084E+12,5.04088E+12,5.11799E+12,5.05559E+12,5.03462E+12,4.25641E+12,4.20449E+12
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,4.16168E+11,3.79629E+11,3.95789E+11,4.67739E+11,6.1466E+11,6.95693E+11,7.48418E+11,8.55007E+11,1.05611E+12,9.28762E+11,1.14884E+12,1.39861E+12,1.54753E+12,1.57712E+12,1.46827E+12,1.3513E+12,1.20684E+12,1.32558E+12,1.42781E+12,1.39272E+12,1.32841E+12,1.55674E+12,1.69086E+12,1.72806E+12
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 06/05/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
